"NORVEY",1
"SALUTATORS",1
"MAULE'S",1
"32N06W24DA__01",1
"36N25W05CCBA01",1
"STUECKEN",1
"WINTHER",2
"GOODSIGHT",1
"OPUNTIA",1
"'BIX'",1
"ALTENA",1
"PAPAUSI",1
"KIELS",2
"CARADAN",1
"ANGELFISH",3
"GAMAPE",1
"SASUAGEL",1
"SMITHERN",2
"17N02E18D___03",1
"KSRV",1
"NIYGHAKPAK",1
"GABETTAS",1
"WAIĀKEA",14
"HAYMOCK",3
"20N03E32ADDC01",1
"WIKQ",1
"YEATES",2
"ENGLEMEIER",1
"NISHU",2
"HARGITT",1
"LOCKLIN",9
"GOSINTA",1
"GERTH",1
"MODJESKA",8
"05S47E10BCAB01",1
"MAUNAIKI",2
"WHITOOAK",1
"TGOLIK",1
"SIMPTON",1
"NANTACHES",1
"INTERPACE",1
"BENTALOU",2
"WAPANOCCA",4
"CHEROKE",1
"SAUTER",4
"SKOKSONAK",1
"BOHLEYSVILLE",1
"BROACHS",1
"STULLER",2
"'POLY'",1
"MARGETS",1
"HAFFTEN",1
"10N03W01DBCC01",1
"OPONYS",1
"SCIOTS",1
"HUCHINSON",1
"28N53E30DB__01",1
"OAKFOREST",1
"KDDA",1
"FEARNSTER",1
"TRISLER",3
"SANFORDTOWN",3
"PRETTYHAIR",1
"PARSONVILLE",6
"KAʻAMOLA",1
"20N23E03ADCC01",1
"EAULKNER",1
"RAINEYS",6
"BIBBYS",2
"WYACONDAH",1
"PLUNKETTVILLE",1
"FOOTTRACK",1
"KCSC",1
"CEDARTOP",1
"MINEEF",1
"KUGURUROK",1
"SUNNYLANE",8
"K'EL",1
"WRQX",1
"TSIMPSHIAN",1
"WATIE",3
"SCHILSON",1
"02S23E32CCBB01",1
"ROACHDALE",5
"20N27W24BDBC01",1
"COCO",18
"CAMALEON",5
"UNCANOONUC",5
"KULAKALA",1
"KELLET",1
"09S41E07CCBD01",1
"ALIM",2
"NADVIKTAK",2
"JACAL",2
"DUBKIN",1
"HAMBURGH",6
"UINTAS",2
"HARILD",1
"ODGEN",2
"KAFE",1
"BLOGETT",1
"QUIMBY",42
"COHER",1
"22N03W32A___01",1
"STALLCOP",2
"DEBY",1
"HASTAIN",2
"NICHOCHI",1
"SANDSPRIT",1
"SHOCKENBACH",1
"EAGEL",3
"GOTHA",6
"DETTLOFF",1
"KWUN",1
"BEUTH",2
"07N28E35BDD_01",1
"STROHL",3
"ANGIIDIDAX",1
"PORTE",68
"KIAHA",1
"CRISTOVAL",3
"MORFIELD",2
"DEHN",1
"01S04E17BB__01",1
"KTSP",2
"LOCOALLOMI",1
"ATCHINALGI",1
"TAMALAX",1
"STEPHEL",1
"NEVERSINK",21
"FREIBERGER",1
"JESSETON",2
"CASPIANA",5
"AGGIEVILLE",2
"GUNG",1
"SHERMAN'S",1
"CUSCO",1
"BEAMANTOWN",1
"WELTBOTE",1
"HEID",2
"SHAEFFERSTOWN",1
"MAULL",3
"DOMICK",1
"MAMMYS",1
"CREEKRIDGE",1
"FINEGAN",5
"FOSSET",1
"AYMONS",1
"FALIPE",3
"STREVEY",1
"ATANDO",1
"WYDE",2
"TIDEPORT",1
"GRUNARD",1
"INIAM",1
"DAVCHPORT",1
"DAMROW",5
"BERLAMONT",3
"TSCHINKITANE",1
"RALPHTON",2
"THARALDSON",1
"30N31W25BCB_01",1
"KAUNUPAHU",1
"SOLIZ",3
"HARDINGS",5
"JAHRAUS",1
"GEMEIN",1
"USTICK",5
"CHEWUCH",3
"07N02E17DC__01",1
"DENNON",4
"MENGELWOOD",2
"COCKERELL",6
"CASTLECRAG",1
"SHIR",4
"KOOCANUSA",3
"MILLYARD",1
"07S55E30ABBA01",1
"07N26E14BCDD01",1
"AGUZADA",1
"LANGHAM",23
"FCC",9
"CONTORNO",1
"35N14W33DADC01",1
"COAXET",1
"PAPAULUANA",1
"FOGAUSA",2
"TIPPIN",2
"DANTZIGER",1
"VALESKA",1
"TEUBNER",1
"FRANCHI",1
"STRAWPUMP",1
"LPC",1
"FRITZPATRICK",1
"ACREDALE",5
"MOREAUS",1
"QUORK",1
"SNUFFTOWN",2
"BOSTWICK",41
"GORSUCH",13
"MOBLO",1
"JAQUAY",1
"08S44E03ADDB01",1
"THANKFULL",2
"ANDERSONVILLE",41
"EASTFRIESLAND",1
"MCDOLE",1
"29N20W33CA__01",1
"BOODY",15
"BRECHEEN",2
"EMORITT",1
"RAETZ",1
"POPPENESSET",1
"30N12E27DC__02",1
"YACH'DITNU",1
"13N19W20CB__01",1
"LAKEHILL",3
"SMELLER",2
"DOUBLECAMP",5
"NORELLI",2
"WSVH",1
"CHARO",1
"OMOACHEL",2
"2WP398",1
"14S08W04CCDA01",1
"POSITEUS",1
"DADVILLE",1
"GLASSCOCK",43
"KYUS",1
"SEJITA",3
"LOGSON",1
"BUMBO",3
"TV4",1
"09N49E07DDBC01",1
"MAGNUSONS",1
"CRUTHERS",2
"KHOT",1
"13S05E34BDCA01",1
"KWSS",1
"28N54E25BC__01",1
"MACHESNA",5
"ARBUTA",1
"CEANOTHUS",1
"SEQUOI",1
"CASTLEN",1
"TOGNONI",1
"EVANGELISTICAL",1
"BORGFELD",1
"ANTELM",3
"TAKUCMICH",1
"DIXILETA",1
"WENDLIN",1
"IKATHLEEWIMJINGIA",1
"LODEMA",2
"MISTI",1
"MOUNSE",1
"BALIÑAS",1
"KVYN",1
"SALONG",1
"MONETTA",8
"ELUMPE",1
"28N53E29DC__01",1
"T36",1
"DANLBOONE",1
"ERMEL",1
"22N47E14BCCD01",1
"LEVIS",16
"PISITIN",1
"VINZENZ",1
"MONN",1
"THIBERT",1
"12N13E16DA__01",1
"MUDPUPPY",1
"KEHENA",9
"KANOUNOU",1
"16N10E09BC__01",1
"AMTOCO",1
"IGNOK",1
"HARDEMANN",1
"KKXK",1
"ARAPWA",1
"01S25E01CDB_01",1
"MALEM",5
"PERO",8
"NETHKIN",4
"WORKHEISER",1
"OPPY",4
"18N01E29D___01",1
"TOBATOKH",1
"HEINEY",5
"JIMERSON",2
"SORENSON",40
"PINEDELL",1
"LONZ",2
"MCCLAUGHREY",1
"MUTSCHLER",1
"ATTAWAY",6
"KAVR",1
"GRUMLE",1
"TREXLER",18
"PEMBERTHY",1
"TRANSAMERICA",2
"GOESLING",3
"ABERFOYLE",1
"MERCURIA",1
"WKGW",1
"CHAANGIQLUUX̂",1
"LOVEY",1
"JESUP",45
"KISCO",19
"NIDIFFER",1
"SCHUBARTH",1
"GENIVIEVE",1
"TEUTSCH",1
"BARADA",8
"KCEO",3
"KAUKAKEE",1
"PFOST",2
"IDAEL",1
"STRIBBINGS",1
"BELLEAYRE",1
"COMMELLINI",1
"SCOJOHN",1
"SAMUAL",1
"PU‘UHELE",1
"DORNACKER",1
"NORMANSVILLE",1
