"#00466",1
"#00467",1
"#00470",1
"#00471",2
"#00472",1
"#00473",2
"#00475",1
"#00477",1
"#00478",1
"#00480",1
"#00481",1
"#00483",1
"#00484",1
"#00485",2
"#00486",1
"#00487",1
"#00488",2
"#00489",1
"#0049",2
"#00490",2
"#00491",1
"#00493",1
"#00494",1
"#00495",1
"#00496",3
"#00497",1
"#00498",1
"#005",1
"#0050",2
"#00500",2
"#00502",1
"#00503",1
"#00504",1
"#00505",2
"#00506",2
"#00507",2
"#00509",1
"#0051",1
"#00510",1
"#00512",1
"#00513",1
"#00514",1
"#00515",1
"#00517",1
"#00518",2
"#00520",1
"#00521",2
"#00522",1
"#00523",1
"#00524",2
"#00526",1
"#00528",1
"#0053",2
"#00535",1
"#00536",1
"#00538",2
"#00539",1
"#0054",1
"#00540",1
"#00541",2
"#00543",1
"#00544",1
"#00545",1
"#00546",1
"#00547",1
"#00549",1
"#0055",1
"#00550",2
"#00551",1
"#00552",1
"#00553",2
"#00554",2
"#00555",2
"#00556",1
"#00557",1
"#00559",1
"#0056",1
"#00560",1
"#00562",1
"#00563",1
"#00564",2
"#00567",2
"#00568",1
"#00569",1
"#00570",1
"#00573",1
"#00576",2
"#0058",1
"#00580",1
"#00581",1
"#00582",1
"#00584",1
"#00585",1
"#00586",1
"#00588",1
"#0059",1
"#00591",1
"#00592",1
"#005C",1
"#006",2
"#00604",1
"#00607",1
"#00608",1
"#00609",2
"#0061",1
"#00610",1
"#00611",1
"#00614",1
"#00615",1
"#00616",1
"#00617",1
"#00618",1
"#00619",2
"#0062",1
"#00621",1
"#00622",2
"#00623",1
"#00624",1
"#00625",2
"#00626",1
"#00627",1
"#00628",1
"#00629",1
"#00631",1
"#00632",1
"#00633",1
"#00637",1
"#00638",2
"#00649",1
"#00651",1
"#00654",1
"#00655",1
"#00658",1
"#0066",1
"#00662",1
"#00665",2
"#00667",2
"#00669",1
"#0067",1
"#00670",2
"#00671",1
"#00672",1
"#00673",2
"#00674",2
"#00675",2
"#00676",1
"#00677",1
"#00678",1
"#00679",1
"#0068",1
"#00681",1
"#00682",1
"#00683",1
"#00684",1
"#00686",1
"#00687",1
"#00689",2
"#00690",1
"#00691",1
"#00692",1
"#00693",1
"#00694",1
"#00695",1
"#00696",1
"#00698",1
"#00699",1
"#007",2
"#0070",3
"#00700",1
"#00704",1
"#00705",1
"#00706",1
"#00707",1
"#00708",1
"#00709",1
"#0071",2
"#00710",2
"#00711",1
"#00712",1
"#00714",3
"#00715",1
"#00716",1
"#00718",1
"#00719",1
"#00720",1
"#00722",2
"#00723",1
"#00724",1
"#00725",1
"#00726",1
"#00727",1
"#00729",1
"#0073",1
"#00730",1
"#00733",1
"#00734",1
"#00735",1
"#00736",2
"#00737",1
"#00738",2
"#00739",1
"#0074",1
"#00740",2
"#00741",2
"#00743",2
"#00745",1
"#00747",1
"#00748",2
"#00749",2
"#0075",1
"#00751",1
"#00752",1
"#00753",1
"#00754",1
"#00755",1
"#00758",1
"#00759",1
"#00760",1
"#00761",1
"#00762",1
"#00763",1
"#00764",1
"#00765",1
"#00766",2
"#00767",1
"#00768",2
"#00769",1
"#0077",1
"#00770",2
"#00771",2
"#00772",1
"#00773",1
"#00774",1
"#00775",2
"#00776",1
"#00777",1
"#00778",1
"#00779",1
"#0078",1
"#00780",1
"#00781",1
"#00782",1
"#00783",1
"#00784",2
"#00785",1
"#00786",1
"#00787",1
"#00788",2
"#00789",1
"#00790",1
"#00791",1
"#00794",1
"#00796",1
"#00798",1
"#008",3
"#00800",1
"#00801",1
"#00803",1
"#00805",1
"#00806",1
"#00807",1
"#00809",2
"#0081",1
"#00810",1
"#00811",3
"#00812",1
"#00813",2
"#00816",2
"#00817",1
"#00818",2
"#00820",1
"#00821",1
"#00822",1
"#00823",1
"#00824",2
"#00826",1
"#00827",1
"#00828",3
"#00829",2
"#00830",1
"#00831",1
"#00832",1
"#00834",1
"#00836",1
"#00837",1
"#00838",1
"#00839",1
"#0084",1
"#00840",2
"#00842",2
"#00843",2
"#00844",1
"#00846",1
"#00848",1
"#00849",1
"#0085",1
"#00850",1
"#00851",2
"#00852",1
"#00853",1
"#00854",1
"#00855",1
"#00856",1
"#00858",2
"#00859",2
"#0086",2
"#00860",1
"#00861",2
"#00862",1
"#00863",2
"#00864",1
"#00865",1
"#00866",2
"#00867",1
"#00868",1
"#00869",1
"#00872",1
"#00873",1
"#00877",1
"#00878",1
"#00879",1
"#0088",1
"#00880",1
"#00881",1
"#00882",1
"#00886",1
"#00887",1
"#00888",1
"#00889",1
"#00890",2
"#00891",1
"#00893",2
"#00894",1
"#00896",2
"#009",3
"#00900",1
"#00903",2
"#00906",1
"#0091",2
"#00910",1
"#00912",1
"#00919",1
"#0092",1
"#00920",1
"#00928",1
"#00929",1
"#00931",1
"#00936",1
"#0094",1
"#00944",1
"#00946",1
"#00948",1
"#0095",1
"#00950",1
"#00952",1
"#00956",1
"#00958",1
"#00959",1
"#00960",1
"#0097",1
"#00972",1
"#00973",1
"#00974",2
"#00975",1
"#00976",1
"#00979",2
"#00982",1
"#00986",1
"#00987",2
"#00988",2
"#00989",1
"#0099",1
"#00990",1
"#00993",3
"#00995",1
"#00997",1
"#00998",1
"#01",5
"#010",1
"#01000",1
"#01001",1
"#01002",1
"#01003",2
"#01004",3
"#01005",1
"#01006",1
"#01008",1
"#01009",1
"#0101",1
"#01010",1
"#01011",2
"#01012",1
"#01013",2
"#01014",2
"#01015",2
"#01016",1
"#01017",1
"#01018",1
"#0102",1
"#01024",1
"#01025",1
"#01027",1
"#01028",1
"#01031",1
"#01033",2
"#01034",1
"#01035",1
"#01036",2
"#01038",1
"#01039",1
"#0104",1
"#01040",1
"#01042",1
"#01043",1
"#01045",1
"#01046",2
"#01047",1
"#01048",1
"#01049",1
"#0105",1
"#01050",1
"#01051",1
"#01054",1
"#01056",2
"#01057",1
"#0106",1
"#01060",1
"#01061",1
"#01064",2
"#01067",1
"#01068",1
"#0107",2
"#01070",1
"#01072",2
"#01073",1
"#01074",1
"#01076",1
"#01077",1
"#01078",2
"#01079",2
"#0108",2
"#01080",3
"#01081",1
"#01082",1
"#01083",1
"#01084",1
"#01085",2
"#01086",1
"#01089",1
"#01090",2
"#01091",2
"#01092",1
"#01093",2
"#01094",1
"#01095",1
"#01096",1
"#01099",1
"#011",3
"#01101",1
"#01104",1
"#01106",1
"#01107",1
"#01108",1
"#01109",1
"#0111",2
"#01111",1
"#01112",1
"#01113",2
"#01114",1
"#01116",2
"#01117",1
"#01118",1
"#01119",1
"#01120",1
"#01122",1
"#01123",1
"#01124",1
